pop_id,country_code,year,fertility_rate,life_expectancy
121,GNQ,2015,4.745,57.96341463
151,GRC,2010,1.48,80.38780488
150,GRC,2015,1.3,81.58780488
155,GRD,2010,2.24,72.5675122
154,GRD,2015,2.127,73.523
153,GRL,2010,2.195,70.85707317
152,GRL,2015,2,
159,GTM,2010,3.434,70.77546341
158,GTM,2015,3.159,71.9564878
157,GUM,2010,2.472,78.10087805
156,GUM,2015,2.366,79.379
165,GUY,2010,2.68,66.04270732
164,GUY,2015,2.532,66.5075122
171,HKG,2010,1.127,82.97804878
170,HKG,2015,1.195,84.27804878
169,HND,2010,2.695,72.39397561
168,HND,2015,2.332,73.33312195
98,HRV,2010,1.55,76.47560976
97,HRV,2015,1.46,77.27560976
167,HTI,2010,3.325,61.24012195
166,HTI,2015,2.973,63.0737561
173,HUN,2010,1.25,74.20731707
172,HUN,2015,1.44,75.96097561
179,IDN,2010,2.513,68.14719512
178,IDN,2015,2.437,69.07168293
187,IMN,2010,,
186,IMN,2015,,
177,IND,2010,2.622,66.50614634
176,IND,2015,2.395,68.34856098
185,IRL,2010,2.05,80.74390244
184,IRL,2015,1.94,81.50243902
181,IRN,2010,1.765,73.98317073
180,IRN,2015,1.685,75.59134146
183,IRQ,2010,4.659,68.49012195
182,IRQ,2015,4.515,69.59026829
175,ISL,2010,2.2,81.89756098
174,ISL,2015,1.93,82.86097561
189,ISR,2010,3.03,81.60243902
188,ISR,2015,3.09,82.05121951
191,ITA,2010,1.46,82.03658537
190,ITA,2015,1.37,83.4902439
193,JAM,2010,2.174,74.8474878
192,JAM,2015,2.025,75.79817073
197,JOR,2010,3.553,73.43582927
196,JOR,2015,3.366,74.20334146
195,JPN,2010,1.39,82.84268293
194,JPN,2015,1.46,83.84365854
199,KAZ,2010,2.6,68.29536585
198,KAZ,2015,2.73,72
201,KEN,2010,4.629,58.71860976
200,KEN,2015,4.263,62.13373171
213,KGZ,2010,3.1,69.3
212,KGZ,2015,3.2,70.65121951
68,KHM,2010,2.875,66.38565854
67,KHM,2015,2.595,68.65614634
203,KIR,2010,3.843,65.30278049
202,KIR,2015,3.69,66.14785366
361,KNA,2010,,
360,KNA,2015,,
207,KOR,2010,1.226,80.55121951
206,KOR,2015,1.239,82.15585366
211,KWT,2010,2.353,74.11663415
210,KWT,2015,2.072,74.69790244
215,LAO,2010,3.293,64.33363415
214,LAO,2015,2.923,66.53987805
219,LBN,2010,1.613,78.46536585
218,LBN,2015,1.722,79.62860976
223,LBR,2010,5.024,59.44129268
222,LBR,2015,4.647,61.16095122
225,LBY,2010,2.603,71.73739024
224,LBY,2015,2.426,71.82631707
363,LCA,2010,1.982,74.47109756
362,LCA,2015,1.869,75.1845122
227,LIE,2010,1.4,81.84146341
226,LIE,2015,1.59,82.07317073
359,LKA,2010,2.203,74.3392439
358,LKA,2015,2.062,74.95319512
221,LSO,2010,3.303,47.48341463
220,LSO,2015,3.142,49.96121951
229,LTU,2010,1.5,73.26829268
228,LTU,2015,1.63,75.1195122
231,LUX,2010,1.63,80.63170732
230,LUX,2015,1.5,82.22926829
217,LVA,2010,1.36,73.48292683
216,LVA,2015,1.64,74.12439024
233,MAC,2010,1.061,79.69039024
232,MAC,2015,1.276,80.76607317
365,MAF,2010,1.82,78.72195122
364,MAF,2015,1.81,79.47073171
267,MAR,2010,2.535,72.57692683
266,MAR,2015,2.486,74.28931707
261,MCO,2010,,
260,MCO,2015,,
259,MDA,2010,1.274,69.70926829
258,MDA,2015,1.248,71.62643902
237,MDG,2010,4.654,63.36173171
236,MDG,2015,4.35,65.48278049
243,MDV,2010,2.209,76.2004878
242,MDV,2015,2.088,76.979
255,MEX,2010,2.356,76.02678049
254,MEX,2015,2.213,76.92068293
249,MHL,2010,,
248,MHL,2015,,
235,MKD,2010,1.471,74.72263415
234,MKD,2015,1.535,75.49534146
245,MLI,2010,6.547,56.17980488
244,MLI,2015,6.143,58.45721951
247,MLT,2010,1.36,81.39756098
246,MLT,2015,1.42,81.94634146
271,MMR,2010,2.386,64.9174878
270,MMR,2015,2.177,66.04207317
265,MNE,2010,1.767,75.04529268
264,MNE,2015,1.676,76.33770732
263,MNG,2010,2.555,67.60382927
262,MNG,2015,2.638,69.82126829
291,MNP,2010,,
290,MNP,2015,,
269,MOZ,2010,5.564,53.22690244
268,MOZ,2015,5.295,55.3712439
251,MRT,2010,4.835,62.00617073
250,MRT,2015,4.543,63.20282927
253,MUS,2010,1.57,72.96731707
252,MUS,2015,1.36,74.35317073
239,MWI,2010,5.531,56.8362439
238,MWI,2015,5.048,63.79685366
241,MYS,2010,1.998,74.15778049
240,MYS,2015,1.931,74.87517073
273,NAM,2010,3.605,62.48029268
272,NAM,2015,3.473,64.91543902
281,NCL,2010,2.17,77.47317073
280,NCL,2015,2.22,77.77317073
287,NER,2010,7.667,58.259
286,NER,2015,7.567,61.96902439
289,NGA,2010,5.84,51.3295122
288,NGA,2015,5.587,53.04887805
285,NIC,2010,2.428,73.58173171
284,NIC,2015,2.231,75.09812195
279,NLD,2010,1.79,80.70243902
278,NLD,2015,1.71,81.70731707
293,NOR,2010,1.95,80.99756098
292,NOR,2015,1.75,82.1
277,NPL,2010,2.606,67.9714878
276,NPL,2015,2.167,69.97334146
275,NRU,2010,,
274,NRU,2015,,
283,NZL,2010,2.17,80.70243902
282,NZL,2015,1.99,81.45682927
295,OMN,2010,2.888,76.05280488
294,OMN,2015,2.712,77.32419512
297,PAK,2010,3.855,65.16256098
296,PAK,2015,3.55,66.37697561
301,PAN,2010,2.513,76.86363415
300,PAN,2015,2.421,77.76729268
307,PER,2010,2.545,73.63980488
306,PER,2015,2.427,74.78073171
309,PHL,2010,3.133,67.78331707
308,PHL,2015,2.944,68.4067561
299,PLW,2010,,
298,PLW,2015,2.21,
303,PNG,2010,3.985,61.99482927
302,PNG,2015,3.705,62.77668293
311,POL,2010,1.41,76.24634146
310,POL,2015,1.32,78.20487805
315,PRI,2010,1.6235,78.41163415
314,PRI,2015,1.432,79.57231707
205,PRK,2010,2.003,68.90002439
204,PRK,2015,1.968,70.33792683
313,PRT,2010,1.39,79.02682927
312,PRT,2015,1.23,81.52195122
305,PRY,2010,2.73,72.30129268
304,PRY,2015,2.509,73.02563415
427,PSE,2010,4.433,72.21492683
426,PSE,2015,4.11,73.07419512
137,PYF,2010,2.11,75.69539024
136,PYF,2015,2.027,76.75241463
317,QAT,2010,2.104,77.8255122
316,QAT,2015,2.007,78.76258537
319,ROU,2010,1.59,73.45853659
318,ROU,2015,1.52,74.96097561
321,RUS,2010,1.567,68.84121951
320,RUS,2015,1.75,70.90853659
323,RWA,2010,4.441,61.40178049
322,RWA,2015,3.8,64.52453659
331,SAU,2010,2.987,73.70160976
330,SAU,2015,2.713,74.49334146
369,SDN,2010,4.636,62.04258537
368,SDN,2015,4.286,63.71073171
333,SEN,2010,5.174,64.01443902
332,SEN,2015,5.031,66.80441463
341,SGP,2010,1.15,81.54146341
340,SGP,2015,1.24,82.59512195
349,SLB,2010,4.236,67.06565854
348,SLB,2015,3.904,68.1462439
339,SLE,2010,5.151,48.22895122
338,SLE,2015,4.516,51.30817073
120,SLV,2010,2.078,71.67060976
119,SLV,2015,1.909,73.00109756
327,SMR,2010,,83.15937916
326,SMR,2015,,
351,SOM,2010,6.868,54.02365854
350,SOM,2015,6.364,55.68558537
335,SRB,2010,1.4,74.33658537
334,SRB,2015,1.46,75.48780488
355,SSD,2010,5.376,53.66490244
354,SSD,2015,4.937,56.1115122
329,STP,2010,4.789,65.85468293
328,STP,2015,4.516,66.51370732
371,SUR,2010,2.465,70.36273171
370,SUR,2015,2.336,71.29417073
345,SVK,2010,1.43,75.11219512
344,SVK,2015,1.37,77.21219512
347,SVN,2010,1.57,79.42195122
346,SVN,2015,1.58,81.07804878
375,SWE,2010,1.98,81.45121951
374,SWE,2015,1.88,82.55121951
373,SWZ,2010,3.559,48.3457561
372,SWZ,2015,3.201,48.87395122
343,SXM,2010,,
342,SXM,2015,,
337,SYC,2010,2.1,73.19756098
336,SYC,2015,2.3,73.22926829
379,SYR,2010,3.093,72.30743902
378,SYR,2015,2.903,70.08931707
401,TCA,2010,,
400,TCA,2015,,
78,TCD,2010,6.594,49.86207317
77,TCD,2015,6.05,51.87331707
389,TGO,2010,4.868,57.28156098
388,TGO,2015,4.514,60.1207561
385,THA,2010,1.547,73.69436585
384,THA,2015,1.497,74.60119512
381,TJK,2010,3.514,68.56339024
380,TJK,2015,3.454,69.76843902
399,TKM,2010,2.411,65.0212439
398,TKM,2015,2.275,65.73643902
387,TLS,2010,6.235,67.30839024
386,TLS,2015,5.615,68.52641463
391,TON,2010,3.913,72.18260976
390,TON,2015,3.678,72.94404878
393,TTO,2010,1.806,69.79756098
392,TTO,2015,1.766,70.55770732
395,TUN,2010,2.098,74.61170732
394,TUN,2015,2.132,74.97597561
397,TUR,2010,2.134,74.09092683
396,TUR,2015,2.052,75.42621951
403,TUV,2010,,
402,TUV,2015,,
383,TZA,2010,5.427,61.62560976
382,TZA,2015,5.078,65.4874878
405,UGA,2010,6.154,55.83665854
404,UGA,2015,5.682,59.17907317
407,UKR,2010,1.443,70.26536585
406,UKR,2015,1.506,71.1895122
415,URY,2010,2.078,76.39460976
414,URY,2015,2.007,77.13821951
413,USA,2010,1.931,78.54146341
412,USA,2015,1.843,78.74146341
417,UZB,2010,2.342,67.86129268
416,UZB,2015,2.491,68.45307317
367,VCT,2010,2.07,72.34639024
366,VCT,2015,1.952,73.05236585
421,VEN,2010,2.472,73.67160976
420,VEN,2015,2.34,74.40960976
56,VGB,2010,,
55,VGB,2015,,
425,VIR,2010,1.81,79.17317073
424,VIR,2015,1.74,79.87317073
423,VNM,2010,1.946,74.99036585
422,VNM,2015,1.96,75.77773171
419,VUT,2010,3.499,70.84995122
418,VUT,2015,3.31,72.15736585
325,WSM,2010,4.338,72.417
324,WSM,2015,4.028,73.76487805
209,XKX,2010,2.29,69.9
208,XKX,2015,2.09,71.34634146
429,YEM,2010,4.703,62.76873171
428,YEM,2015,4.043,64.03139024
353,ZAF,2010,2.467,54.3907561
352,ZAF,2015,2.339,57.44090244
431,ZMB,2010,5.687,56.38385366
430,ZMB,2015,5.284,60.78568293
433,ZWE,2010,4.048,49.57465854
432,ZWE,2015,3.856,59.16107317
